account,amount,%,balance,date
cometogether,77648.81,5.69,77648.81 HVOICE,2022-03-21T02:59:33.213Z
illumination,56838.3,4.17,56838.30 HVOICE,2022-03-21T02:59:34.117Z
luigicarlini,55094.35,4.04,55094.35 HVOICE,2022-03-21T02:59:34.155Z
aleksandardj,54492.81,3.99,54492.81 HVOICE,2022-03-21T02:59:33.232Z
seedspiyush2,54441.7,3.99,54441.70 HVOICE,2022-03-21T02:59:35.012Z
evgeiobrn243,50078.29,3.67,50078.29 HVOICE,2022-03-21T02:59:33.269Z
thealchemist,49463.55,3.62,49463.55 HVOICE,2022-03-21T02:59:35.010Z
joachimstroh,48687.78,3.57,48687.78 HVOICE,2022-03-21T02:59:34.067Z
mightymighty,47387.47,3.47,47387.47 HVOICE,2022-03-21T02:59:34.068Z
gerard5ph321,42767.88,3.13,42767.88 HVOICE,2022-03-21T02:59:33.270Z
jasondoh1155,40399.07,2.96,40399.07 HVOICE,2022-03-21T02:59:34.117Z
leonieherma1,40067.35,2.94,40067.35 HVOICE,2022-03-21T02:59:34.067Z
gguijarro123,39320.57,2.88,39320.57 HVOICE,2022-03-21T02:59:33.270Z
romboxen1234,28117.14,2.06,28117.14 HVOICE,2022-03-21T02:59:35.022Z
theremotecub,27223.8,2.00,27223.80 HVOICE,2022-03-21T02:59:34.996Z
massimohypha,23403.84,1.72,23403.84 HVOICE,2022-03-21T02:59:34.059Z
gradinagruiu,20513.13,1.50,20513.13 HVOICE,2022-03-21T02:59:33.227Z
skyblueearth,19889.52,1.46,19889.52 HVOICE,2022-03-21T02:59:34.996Z
pedromoscoso,17955.73,1.32,17955.73 HVOICE,2022-03-21T02:59:34.113Z
juliomonteir,17852.13,1.31,17852.13 HVOICE,2022-03-21T02:59:34.111Z
forevergreen,15239.07,1.12,15239.07 HVOICE,2022-03-21T02:59:33.264Z
dangermouse1,13579.21,1.00,13579.21 HVOICE,2022-03-21T02:59:33.234Z
markflowfarm,13258.25,0.97,13258.25 HVOICE,2022-03-21T02:59:34.159Z
anneloes3313,12900.6,0.95,12900.60 HVOICE,2022-03-21T02:59:33.264Z
pugaknzero15,12477.19,0.91,12477.19 HVOICE,2022-03-21T02:59:34.907Z
loveandlight,11389.24,0.83,11389.24 HVOICE,2022-03-21T02:59:34.139Z
apostolseeds,8509.91,0.62,8509.91 HVOICE,2022-03-21T02:59:33.269Z
seeding1love,8021.97,0.59,8021.97 HVOICE,2022-03-21T02:59:34.984Z
abrancusi123,5000,0.37,5000.00 HVOICE,2022-03-21T02:59:33.271Z
acascalheira,5000,0.37,5000.00 HVOICE,2022-03-21T02:59:33.200Z
adafriedrich,5000,0.37,5000.00 HVOICE,2022-03-21T02:59:33.219Z
alanlaub1111,5000,0.37,5000.00 HVOICE,2022-03-21T02:59:33.219Z
alextrojan43,5000,0.37,5000.00 HVOICE,2022-03-21T02:59:33.189Z
astoryteller,5000,0.37,5000.00 HVOICE,2022-03-21T02:59:33.264Z
atmalife2312,5000,0.37,5000.00 HVOICE,2022-03-21T02:59:33.270Z
azarltfpa455,5000,0.37,5000.00 HVOICE,2022-03-21T02:59:33.232Z
baliforester,5000,0.37,5000.00 HVOICE,2022-03-21T02:59:33.246Z
belledemoise,5000,0.37,5000.00 HVOICE,2022-03-21T02:59:33.218Z
biodiversity,5000,0.37,5000.00 HVOICE,2022-03-21T02:59:33.195Z
carleymonty1,5000,0.37,5000.00 HVOICE,2022-03-21T02:59:33.225Z
cathk33seeds,5000,0.37,5000.00 HVOICE,2022-03-21T02:59:33.188Z
cedricseedss,5000,0.37,5000.00 HVOICE,2022-03-21T02:59:33.260Z
christelos55,5000,0.37,5000.00 HVOICE,2022-03-21T02:59:33.264Z
clarelaverty,5000,0.37,5000.00 HVOICE,2022-03-21T02:59:33.215Z
cookieinbali,5000,0.37,5000.00 HVOICE,2022-03-21T02:59:33.267Z
danigorfest3,5000,0.37,5000.00 HVOICE,2022-03-21T02:59:33.263Z
dbeverywhere,5000,0.37,5000.00 HVOICE,2022-03-21T02:59:33.263Z
denistoledoo,5000,0.37,5000.00 HVOICE,2022-03-21T02:59:33.232Z
dstudioproto,5000,0.37,5000.00 HVOICE,2022-03-21T02:59:33.260Z
earthgym.gm,5000,0.37,5000.00 HVOICE,2022-03-21T02:59:33.264Z
emanwplcl322,5000,0.37,5000.00 HVOICE,2022-03-21T02:59:33.268Z
esteesh12345,5000,0.37,5000.00 HVOICE,2022-03-21T02:59:33.262Z
etherweaver1,5000,0.37,5000.00 HVOICE,2022-03-21T02:59:33.259Z
everywherehk,5000,0.37,5000.00 HVOICE,2022-03-21T02:59:33.268Z
exponential1,5000,0.37,5000.00 HVOICE,2022-03-21T02:59:33.264Z
farzadbarzin,5000,0.37,5000.00 HVOICE,2022-03-21T02:59:33.261Z
febudfuture1,5000,0.37,5000.00 HVOICE,2022-03-21T02:59:33.290Z
georgetaylor,5000,0.37,5000.00 HVOICE,2022-03-21T02:59:33.214Z
greensurge12,5000,0.37,5000.00 HVOICE,2022-03-21T02:59:34.152Z
gregory.tk,5000,0.37,5000.00 HVOICE,2022-03-21T02:59:34.148Z
hyphanewyork,5000,0.37,5000.00 HVOICE,2022-03-21T02:59:34.159Z
iampriestess,5000,0.37,5000.00 HVOICE,2022-03-21T02:59:34.087Z
iblvnnwwrld1,5000,0.37,5000.00 HVOICE,2022-03-21T02:59:34.069Z
imprvsociety,5000,0.37,5000.00 HVOICE,2022-03-21T02:59:34.067Z
inhabit4love,5000,0.37,5000.00 HVOICE,2022-03-21T02:59:34.078Z
jaclynjhin11,5000,0.37,5000.00 HVOICE,2022-03-21T02:59:34.116Z
jasonrswamy1,5000,0.37,5000.00 HVOICE,2022-03-21T02:59:34.063Z
jedipath3335,5000,0.37,5000.00 HVOICE,2022-03-21T02:59:34.067Z
khempoudel12,5000,0.37,5000.00 HVOICE,2022-03-21T02:59:34.112Z
kimmarsh1111,5000,0.37,5000.00 HVOICE,2022-03-21T02:59:34.079Z
leoslaagr421,5000,0.37,5000.00 HVOICE,2022-03-21T02:59:34.059Z
lisalight231,5000,0.37,5000.00 HVOICE,2022-03-21T02:59:34.148Z
localscaling,5000,0.37,5000.00 HVOICE,2022-03-21T02:59:34.112Z
lukegravdent,5000,0.37,5000.00 HVOICE,2022-03-21T02:59:34.158Z
lukskywalker,5000,0.37,5000.00 HVOICE,2022-03-21T02:59:34.149Z
magic1234555,5000,0.37,5000.00 HVOICE,2022-03-21T02:59:34.149Z
martinaepple,5000,0.37,5000.00 HVOICE,2022-03-21T02:59:34.148Z
matteotangi1,5000,0.37,5000.00 HVOICE,2022-03-21T02:59:34.140Z
minosdoros55,5000,0.37,5000.00 HVOICE,2022-03-21T02:59:34.158Z
montanath135,5000,0.37,5000.00 HVOICE,2022-03-21T02:59:34.148Z
nahimafzal11,5000,0.37,5000.00 HVOICE,2022-03-21T02:59:34.117Z
natajuvbr125,5000,0.37,5000.00 HVOICE,2022-03-21T02:59:34.144Z
natureboy222,5000,0.37,5000.00 HVOICE,2022-03-21T02:59:34.148Z
nicktucker11,5000,0.37,5000.00 HVOICE,2022-03-21T02:59:34.135Z
nomik22kimon,5000,0.37,5000.00 HVOICE,2022-03-21T02:59:34.120Z
oumniaabidi1,5000,0.37,5000.00 HVOICE,2022-03-21T02:59:34.120Z
paulcarvalho,5000,0.37,5000.00 HVOICE,2022-03-21T02:59:34.142Z
peterrakj234,5000,0.37,5000.00 HVOICE,2022-03-21T02:59:34.112Z
pmdwithseeds,5000,0.37,5000.00 HVOICE,2022-03-21T02:59:34.959Z
radiantseeds,5000,0.37,5000.00 HVOICE,2022-03-21T02:59:34.914Z
rainskyarel5,5000,0.37,5000.00 HVOICE,2022-03-21T02:59:34.910Z
renexplorers,5000,0.37,5000.00 HVOICE,2022-03-21T02:59:34.960Z
rocklandroad,5000,0.37,5000.00 HVOICE,2022-03-21T02:59:34.943Z
ronscroggin1,5000,0.37,5000.00 HVOICE,2022-03-21T02:59:34.919Z
rpiesveloces,5000,0.37,5000.00 HVOICE,2022-03-21T02:59:34.910Z
sanjayrajan1,5000,0.37,5000.00 HVOICE,2022-03-21T02:59:35.015Z
sanjeevsingh,5000,0.37,5000.00 HVOICE,2022-03-21T02:59:34.997Z
searchingfor,5000,0.37,5000.00 HVOICE,2022-03-21T02:59:35.012Z
