account,amount,%,balance,date
costak.hypha,42483305.18,99.97,42483305.18 HYPHA,2022-01-17T00:31:02.694Z
dao.hypha,7722.55,0.02,7722.55 HYPHA,2022-01-17T00:31:05.037Z
scientisttop,1817,0.00,1817.00 HYPHA,2022-01-17T00:31:05.828Z
pedromoscoso,865.45,0.00,865.45 HYPHA,2022-01-17T00:31:03.289Z
forevergreen,606.69,0.00,606.69 HYPHA,2022-01-17T00:31:05.032Z
donations.gm,455,0.00,455.00 HYPHA,2022-01-17T00:31:02.692Z
kuntterbunt1,455,0.00,455.00 HYPHA,2022-01-17T00:31:03.303Z
romboxen1234,379.86,0.00,379.86 HYPHA,2022-01-17T00:31:05.826Z
freedomcell1,325.14,0.00,325.14 HYPHA,2022-01-17T00:31:02.693Z
hanssprungli,42.69,0.00,42.69 HYPHA,2022-01-17T00:31:02.691Z
rpiesveloces,41.03,0.00,41.03 HYPHA,2022-01-17T00:31:05.829Z
stephend1111,15.4,0.00,15.40 HYPHA,2022-01-17T00:31:05.836Z
hyphax.seeds,7.67,0.00,7.67 HYPHA,2022-01-17T00:31:02.690Z
bigorna12345,5.82,0.00,5.82 HYPHA,2022-01-17T00:31:03.284Z
originalogos,5.09,0.00,5.09 HYPHA,2022-01-17T00:31:03.287Z
atmalife2312,4.63,0.00,4.63 HYPHA,2022-01-17T00:31:02.689Z
jcroemer1111,1.99,0.00,1.99 HYPHA,2022-01-17T00:31:03.302Z
dversityclub,1.01,0.00,1.01 HYPHA,2022-01-17T00:31:04.923Z
coldstorage1,1,0.00,1.00 HYPHA,2022-01-17T00:31:03.294Z
twakefield14,1,0.00,1.00 HYPHA,2022-01-17T00:31:06.426Z
rory,0.86,0.00,0.86 HYPHA,2022-01-17T00:31:06.430Z
andytheseeds,0.82,0.00,0.82 HYPHA,2022-01-17T00:31:02.687Z
belledemoise,0.28,0.00,0.28 HYPHA,2022-01-17T00:31:03.308Z
markflowfarm,0.07,0.00,0.07 HYPHA,2022-01-17T00:31:03.307Z
apostolseeds,0.02,0.00,0.02 HYPHA,2022-01-17T00:31:02.686Z
