account,amount,%,balance,date
cometogether,790123.08,6.92,790123.08 HVOICE,2021-09-30T12:13:02.315Z
thealchemist,755037.06,6.61,755037.06 HVOICE,2021-09-30T12:13:04.368Z
thelovewitch,572167.37,5.01,572167.37 HVOICE,2021-09-30T12:13:04.364Z
hyphanewyork,537562.33,4.71,537562.33 HVOICE,2021-09-30T12:13:03.582Z
illumination,441410.69,3.86,441410.69 HVOICE,2021-09-30T12:13:03.589Z
joachimstroh,430216.08,3.77,430216.08 HVOICE,2021-09-30T12:13:03.600Z
astoryteller,383315.86,3.36,383315.86 HVOICE,2021-09-30T12:13:02.290Z
dangermouse1,356139.95,3.12,356139.95 HVOICE,2021-09-30T12:13:02.308Z
acascalheira,323577.62,2.83,323577.62 HVOICE,2021-09-30T12:13:02.296Z
loveandlight,297584.03,2.61,297584.03 HVOICE,2021-09-30T12:13:03.586Z
lisalight231,256826.41,2.25,256826.41 HVOICE,2021-09-30T12:13:03.605Z
luigicarlini,246829.08,2.16,246829.08 HVOICE,2021-09-30T12:13:03.611Z
seedspiyush2,243369.69,2.13,243369.69 HVOICE,2021-09-30T12:13:04.341Z
seeding1love,233976.39,2.05,233976.39 HVOICE,2021-09-30T12:13:04.346Z
vasylmarchuk,230491.66,2.02,230491.66 HVOICE,2021-09-30T12:13:04.364Z
mightymighty,228296.48,2.00,228296.48 HVOICE,2021-09-30T12:13:03.606Z
nomik22kimon,207077.71,1.81,207077.71 HVOICE,2021-09-30T12:13:03.600Z
esteesh12345,198984.49,1.74,198984.49 HVOICE,2021-09-30T12:13:02.319Z
gregory.tk,171677.34,1.50,171677.34 HVOICE,2021-09-30T12:13:03.567Z
sonicsphinxy,171502.06,1.50,171502.06 HVOICE,2021-09-30T12:13:04.344Z
markflowfarm,158743.59,1.39,158743.59 HVOICE,2021-09-30T12:13:03.601Z
paulcarvalho,155105.5,1.36,155105.50 HVOICE,2021-09-30T12:13:03.604Z
supernatural,139131.57,1.22,139131.57 HVOICE,2021-09-30T12:13:04.370Z
evgeiobrn243,138677.97,1.21,138677.97 HVOICE,2021-09-30T12:13:02.311Z
juliomonteir,136789.7,1.20,136789.70 HVOICE,2021-09-30T12:13:03.619Z
leonieherma1,132973.48,1.16,132973.48 HVOICE,2021-09-30T12:13:03.576Z
sanjayrajan1,127561.53,1.12,127561.53 HVOICE,2021-09-30T12:13:04.343Z
everywherehk,120001,1.05,120001.00 HVOICE,2021-09-30T12:13:02.312Z
solomonx3333,116906.34,1.02,116906.34 HVOICE,2021-09-30T12:13:04.353Z
aleksandardj,116316.61,1.02,116316.61 HVOICE,2021-09-30T12:13:02.302Z
jasondoh1155,116288.03,1.02,116288.03 HVOICE,2021-09-30T12:13:03.581Z
theremotecub,116196.54,1.02,116196.54 HVOICE,2021-09-30T12:13:04.370Z
jaclynjhin11,114202.23,1.00,114202.23 HVOICE,2021-09-30T12:13:03.570Z
rocklandroad,110001,0.96,110001.00 HVOICE,2021-09-30T12:13:04.338Z
biodiversity,109001,0.95,109001.00 HVOICE,2021-09-30T12:13:02.836Z
rainskyarel5,107726.44,0.94,107726.44 HVOICE,2021-09-30T12:13:04.346Z
exponential1,103108.61,0.90,103108.61 HVOICE,2021-09-30T12:13:02.322Z
stefanrust12,99463.98,0.87,99463.98 HVOICE,2021-09-30T12:13:04.365Z
localscaling,93351.37,0.82,93351.37 HVOICE,2021-09-30T12:13:03.610Z
abrancusi123,89681.91,0.79,89681.91 HVOICE,2021-09-30T12:13:02.288Z
lukegravdent,78112.83,0.68,78112.83 HVOICE,2021-09-30T12:13:03.612Z
gradinagruiu,75471.19,0.66,75471.19 HVOICE,2021-09-30T12:13:02.845Z
iampriestess,75001,0.66,75001.00 HVOICE,2021-09-30T12:13:03.603Z
sienaraa3535,74079.11,0.65,74079.11 HVOICE,2021-09-30T12:13:04.367Z
adafriedrich,70191.57,0.61,70191.57 HVOICE,2021-09-30T12:13:02.299Z
martinaepple,64546.2,0.57,64546.20 HVOICE,2021-09-30T12:13:03.612Z
sevenflash42,61399.3,0.54,61399.30 HVOICE,2021-09-30T12:13:04.360Z
gguijarro123,59032.91,0.52,59032.91 HVOICE,2021-09-30T12:13:02.317Z
clarelaverty,54093.06,0.47,54093.06 HVOICE,2021-09-30T12:13:02.300Z
natajuvbr125,53793.36,0.47,53793.36 HVOICE,2021-09-30T12:13:03.604Z
atmalife2312,53546.29,0.47,53546.29 HVOICE,2021-09-30T12:13:02.839Z
gerard5ph321,52482.17,0.46,52482.17 HVOICE,2021-09-30T12:13:02.845Z
matteotangi1,51893.49,0.45,51893.49 HVOICE,2021-09-30T12:13:03.595Z
christelos55,50570.2,0.44,50570.20 HVOICE,2021-09-30T12:13:02.823Z
ugxxqvybh233,50377.79,0.44,50377.79 HVOICE,2021-09-30T12:13:04.358Z
montanath135,50001,0.44,50001.00 HVOICE,2021-09-30T12:13:03.595Z
searchingfor,50001,0.44,50001.00 HVOICE,2021-09-30T12:13:04.364Z
kimmarsh1111,45502.36,0.40,45502.36 HVOICE,2021-09-30T12:13:03.599Z
nahimafzal11,42501,0.37,42501.00 HVOICE,2021-09-30T12:13:03.611Z
massimohypha,37763.39,0.33,37763.39 HVOICE,2021-09-30T12:13:03.606Z
anneloes3313,36057.76,0.32,36057.76 HVOICE,2021-09-30T12:13:02.842Z
georgetaylor,35001,0.31,35001.00 HVOICE,2021-09-30T12:13:02.305Z
belledemoise,34132.96,0.30,34132.96 HVOICE,2021-09-30T12:13:02.840Z
minosdoros55,33592,0.29,33592.00 HVOICE,2021-09-30T12:13:03.604Z
azarltfpa455,30001,0.26,30001.00 HVOICE,2021-09-30T12:13:02.306Z
dstudioproto,29955.75,0.26,29955.75 HVOICE,2021-09-30T12:13:02.319Z
nicktucker11,29022,0.25,29022.00 HVOICE,2021-09-30T12:13:03.600Z
totohmshanti,27389.37,0.24,27389.37 HVOICE,2021-09-30T12:13:04.349Z
willblakey11,26120,0.23,26120.00 HVOICE,2021-09-30T12:13:04.369Z
jasonrswamy1,25875.1,0.23,25875.10 HVOICE,2021-09-30T12:13:03.588Z
alanlaub1111,25001,0.22,25001.00 HVOICE,2021-09-30T12:13:02.818Z
alextrojan43,25001,0.22,25001.00 HVOICE,2021-09-30T12:13:02.826Z
cookieinbali,25001,0.22,25001.00 HVOICE,2021-09-30T12:13:02.325Z
febudfuture1,25001,0.22,25001.00 HVOICE,2021-09-30T12:13:02.327Z
greensurge12,25001,0.22,25001.00 HVOICE,2021-09-30T12:13:03.611Z
iblvnnwwrld1,25001,0.22,25001.00 HVOICE,2021-09-30T12:13:03.584Z
stephengomes,25001,0.22,25001.00 HVOICE,2021-09-30T12:13:04.367Z
tamsinrose22,25001,0.22,25001.00 HVOICE,2021-09-30T12:13:04.355Z
