account,amount,%,balance,date
wearesailing,25001,0.22,25001.00 HVOICE,2021-09-30T12:13:04.383Z
dbeverywhere,19319.38,0.17,19319.38 HVOICE,2021-09-30T12:13:02.838Z
khempoudel12,16572.2,0.15,16572.20 HVOICE,2021-09-30T12:13:03.587Z
rpiesveloces,16285.42,0.14,16285.42 HVOICE,2021-09-30T12:13:04.340Z
carleymonty1,15758.7,0.14,15758.70 HVOICE,2021-09-30T12:13:02.298Z
cedricseedss,13093.8,0.11,13093.80 HVOICE,2021-09-30T12:13:02.314Z
stephenreid1,12561.19,0.11,12561.19 HVOICE,2021-09-30T12:13:04.353Z
leoslaagr421,12504.38,0.11,12504.38 HVOICE,2021-09-30T12:13:03.610Z
etherweaver1,12481,0.11,12481.00 HVOICE,2021-09-30T12:13:02.326Z
imprvsociety,12160.23,0.11,12160.23 HVOICE,2021-09-30T12:13:03.588Z
lukskywalker,11112,0.10,11112.00 HVOICE,2021-09-30T12:13:03.587Z
ronscroggin1,10435.38,0.09,10435.38 HVOICE,2021-09-30T12:13:04.348Z
radiantseeds,10001,0.09,10001.00 HVOICE,2021-09-30T12:13:04.349Z
danigorfest3,9137.52,0.08,9137.52 HVOICE,2021-09-30T12:13:02.307Z
takayaren555,8915.4,0.08,8915.40 HVOICE,2021-09-30T12:13:04.366Z
virtuousloop,8429.16,0.07,8429.16 HVOICE,2021-09-30T12:13:04.356Z
jedipath3335,7501,0.07,7501.00 HVOICE,2021-09-30T12:13:03.577Z
seedsofheart,7275,0.06,7275.00 HVOICE,2021-09-30T12:13:04.348Z
renexplorers,7000.99,0.06,7000.99 HVOICE,2021-09-30T12:13:04.337Z
zerowastebcn,6501,0.06,6501.00 HVOICE,2021-09-30T12:13:04.370Z
earthgym.gm,6001,0.05,6001.00 HVOICE,2021-09-30T12:13:02.839Z
seedsembassy,6001,0.05,6001.00 HVOICE,2021-09-30T12:13:04.376Z
sanjeevsingh,5051,0.04,5051.00 HVOICE,2021-09-30T12:13:04.368Z
baliforester,5001,0.04,5001.00 HVOICE,2021-09-30T12:13:02.317Z
inhabit4love,4025.99,0.04,4025.99 HVOICE,2021-09-30T12:13:03.581Z
pmdwithseeds,3592.18,0.03,3592.18 HVOICE,2021-09-30T12:13:04.336Z
cathk33seeds,2761,0.02,2761.00 HVOICE,2021-09-30T12:13:02.326Z
natureboy222,2432.2,0.02,2432.20 HVOICE,2021-09-30T12:13:03.606Z
denistoledoo,2171.17,0.02,2171.17 HVOICE,2021-09-30T12:13:02.329Z
pedromoscoso,2160.93,0.02,2160.93 HVOICE,2021-09-30T12:13:03.596Z
farzadbarzin,1721,0.02,1721.00 HVOICE,2021-09-30T12:13:02.321Z
magic1234555,751,0.01,751.00 HVOICE,2021-09-30T12:13:03.590Z
peterrakj234,709.33,0.01,709.33 HVOICE,2021-09-30T12:13:03.603Z
vladlausevic,601,0.01,601.00 HVOICE,2021-09-30T12:13:04.356Z
emanwplcl322,540.98,0.00,540.98 HVOICE,2021-09-30T12:13:02.343Z
oumniaabidi1,540.98,0.00,540.98 HVOICE,2021-09-30T12:13:03.611Z
1onefiftyfor,1,0.00,1.00 HVOICE,2021-09-30T12:13:02.296Z
1regeneratti,1,0.00,1.00 HVOICE,2021-09-30T12:13:02.816Z
abeonazhv432,1,0.00,1.00 HVOICE,2021-09-30T12:13:02.814Z
accountwayne,1,0.00,1.00 HVOICE,2021-09-30T12:13:02.842Z
adaptecology,1,0.00,1.00 HVOICE,2021-09-30T12:13:02.827Z
agnessgarden,1,0.00,1.00 HVOICE,2021-09-30T12:13:02.823Z
alch3myofsho,1,0.00,1.00 HVOICE,2021-09-30T12:13:02.826Z
alinevanmoer,1,0.00,1.00 HVOICE,2021-09-30T12:13:02.290Z
anahealingwo,1,0.00,1.00 HVOICE,2021-09-30T12:13:02.815Z
annagjkzu442,1,0.00,1.00 HVOICE,2021-09-30T12:13:02.291Z
anthomontes3,1,0.00,1.00 HVOICE,2021-09-30T12:13:02.313Z
apostolseeds,1,0.00,1.00 HVOICE,2021-09-30T12:13:02.302Z
aryabhattaaa,1,0.00,1.00 HVOICE,2021-09-30T12:13:02.293Z
astralship12,1,0.00,1.00 HVOICE,2021-09-30T12:13:02.310Z
barmseekri13,1,0.00,1.00 HVOICE,2021-09-30T12:13:02.289Z
bart5hoorweg,1,0.00,1.00 HVOICE,2021-09-30T12:13:02.323Z
bartelbertse,1,0.00,1.00 HVOICE,2021-09-30T12:13:02.846Z
beginersmind,1,0.00,1.00 HVOICE,2021-09-30T12:13:02.814Z
bkooefhdr521,1,0.00,1.00 HVOICE,2021-09-30T12:13:02.308Z
blagotvorec1,1,0.00,1.00 HVOICE,2021-09-30T12:13:02.292Z
blockchain5d,1,0.00,1.00 HVOICE,2021-09-30T12:13:02.297Z
c1or1dons115,1,0.00,1.00 HVOICE,2021-09-30T12:13:02.306Z
cassiuscarv1,1,0.00,1.00 HVOICE,2021-09-30T12:13:02.316Z
catalystdceo,1,0.00,1.00 HVOICE,2021-09-30T12:13:02.837Z
charrismatic,1,0.00,1.00 HVOICE,2021-09-30T12:13:02.308Z
clintpickney,1,0.00,1.00 HVOICE,2021-09-30T12:13:02.840Z
cobybabanicb,1,0.00,1.00 HVOICE,2021-09-30T12:13:02.303Z
communitrees,1,0.00,1.00 HVOICE,2021-09-30T12:13:02.324Z
compris11111,1,0.00,1.00 HVOICE,2021-09-30T12:13:02.298Z
consciousof1,1,0.00,1.00 HVOICE,2021-09-30T12:13:02.335Z
cyrusseeds44,1,0.00,1.00 HVOICE,2021-09-30T12:13:02.303Z
dakotakaiser,1,0.00,1.00 HVOICE,2021-09-30T12:13:02.313Z
damianfuller,1,0.00,1.00 HVOICE,2021-09-30T12:13:02.311Z
dancingseeds,1,0.00,1.00 HVOICE,2021-09-30T12:13:02.301Z
dannyford123,1,0.00,1.00 HVOICE,2021-09-30T12:13:02.838Z
davidsellams,1,0.00,1.00 HVOICE,2021-09-30T12:13:02.323Z
dayagardunha,1,0.00,1.00 HVOICE,2021-09-30T12:13:02.299Z
dcbvip123321,1,0.00,1.00 HVOICE,2021-09-30T12:13:02.322Z
ddbhyphaseed,1,0.00,1.00 HVOICE,2021-09-30T12:13:02.319Z
dianabehrens,1,0.00,1.00 HVOICE,2021-09-30T12:13:02.301Z
dianavilelab,1,0.00,1.00 HVOICE,2021-09-30T12:13:02.316Z
dmitriyseeds,1,0.00,1.00 HVOICE,2021-09-30T12:13:02.320Z
drigolove333,1,0.00,1.00 HVOICE,2021-09-30T12:13:02.847Z
eddyaugusto5,1,0.00,1.00 HVOICE,2021-09-30T12:13:02.318Z
ellafeathers,1,0.00,1.00 HVOICE,2021-09-30T12:13:02.312Z
emmapionberl,1,0.00,1.00 HVOICE,2021-09-30T12:13:02.335Z
enterthevoid,1,0.00,1.00 HVOICE,2021-09-30T12:13:02.328Z
erickflavour,1,0.00,1.00 HVOICE,2021-09-30T12:13:02.305Z
everywheredb,1,0.00,1.00 HVOICE,2021-09-30T12:13:02.889Z
ewoudvenema1,1,0.00,1.00 HVOICE,2021-09-30T12:13:02.846Z
f4b1vuk1seed,1,0.00,1.00 HVOICE,2021-09-30T12:13:02.327Z
faanch1134ac,1,0.00,1.00 HVOICE,2021-09-30T12:13:02.307Z
felipecalvo1,1,0.00,1.00 HVOICE,2021-09-30T12:13:02.320Z
forevergreen,1,0.00,1.00 HVOICE,2021-09-30T12:13:02.321Z
freedomcell1,1,0.00,1.00 HVOICE,2021-09-30T12:13:02.328Z
freeminister,1,0.00,1.00 HVOICE,2021-09-30T12:13:02.310Z
geschichten1,1,0.00,1.00 HVOICE,2021-09-30T12:13:02.328Z
giandahber52,1,0.00,1.00 HVOICE,2021-09-30T12:13:02.314Z
gijsspoor123,1,0.00,1.00 HVOICE,2021-09-30T12:13:02.329Z
gracerachman,1,0.00,1.00 HVOICE,2021-09-30T12:13:02.318Z
graindefolie,1,0.00,1.00 HVOICE,2021-09-30T12:13:02.334Z
guilherme111,1,0.00,1.00 HVOICE,2021-09-30T12:13:03.584Z
hbussacos123,1,0.00,1.00 HVOICE,2021-09-30T12:13:03.603Z
hbussacosbra,1,0.00,1.00 HVOICE,2021-09-30T12:13:03.592Z
howardjohns1,1,0.00,1.00 HVOICE,2021-09-30T12:13:03.585Z
ibvlnnwwrld1,1,0.00,1.00 HVOICE,2021-09-30T12:13:03.577Z
iggypop11235,1,0.00,1.00 HVOICE,2021-09-30T12:13:03.583Z
indrasloom33,1,0.00,1.00 HVOICE,2021-09-30T12:13:03.590Z
itsericbrown,1,0.00,1.00 HVOICE,2021-09-30T12:13:03.595Z
ivyforero111,1,0.00,1.00 HVOICE,2021-09-30T12:13:03.575Z
jamesmsamuel,1,0.00,1.00 HVOICE,2021-09-30T12:13:03.602Z
jclearwater1,1,0.00,1.00 HVOICE,2021-09-30T12:13:03.584Z
jeromeminney,1,0.00,1.00 HVOICE,2021-09-30T12:13:03.603Z
jessicaz1111,1,0.00,1.00 HVOICE,2021-09-30T12:13:03.590Z
jo1a5tonhoo5,1,0.00,1.00 HVOICE,2021-09-30T12:13:03.567Z
joannelynn32,1,0.00,1.00 HVOICE,2021-09-30T12:13:03.568Z
joaoestellit,1,0.00,1.00 HVOICE,2021-09-30T12:13:03.599Z
jonasdhunter,1,0.00,1.00 HVOICE,2021-09-30T12:13:03.591Z
joshfielding,1,0.00,1.00 HVOICE,2021-09-30T12:13:03.583Z
joy2theworld,1,0.00,1.00 HVOICE,2021-09-30T12:13:03.588Z
jsofarelli13,1,0.00,1.00 HVOICE,2021-09-30T12:13:03.570Z
justin.id,1,0.00,1.00 HVOICE,2021-09-30T12:13:03.620Z
kyliathymeta,1,0.00,1.00 HVOICE,2021-09-30T12:13:03.599Z
lalagardens1,1,0.00,1.00 HVOICE,2021-09-30T12:13:03.599Z
lauradorigio,1,0.00,1.00 HVOICE,2021-09-30T12:13:03.589Z
laurenarcher,1,0.00,1.00 HVOICE,2021-09-30T12:13:03.586Z
lindaandrews,1,0.00,1.00 HVOICE,2021-09-30T12:13:03.587Z
linekeheus55,1,0.00,1.00 HVOICE,2021-09-30T12:13:03.605Z
lucascrtelos,1,0.00,1.00 HVOICE,2021-09-30T12:13:03.618Z
lukestokestl,1,0.00,1.00 HVOICE,2021-09-30T12:13:03.596Z
lumilovlight,1,0.00,1.00 HVOICE,2021-09-30T12:13:03.580Z
magicagency1,1,0.00,1.00 HVOICE,2021-09-30T12:13:03.619Z
maincedregen,1,0.00,1.00 HVOICE,2021-09-30T12:13:03.611Z
marcelorossi,1,0.00,1.00 HVOICE,2021-09-30T12:13:03.598Z
marcwinnseed,1,0.00,1.00 HVOICE,2021-09-30T12:13:03.605Z
maryslovakia,1,0.00,1.00 HVOICE,2021-09-30T12:13:03.619Z
mavimariasto,1,0.00,1.00 HVOICE,2021-09-30T12:13:03.580Z
melodzogu215,1,0.00,1.00 HVOICE,2021-09-30T12:13:03.612Z
mettaman1111,1,0.00,1.00 HVOICE,2021-09-30T12:13:03.598Z
michaelduwe1,1,0.00,1.00 HVOICE,2021-09-30T12:13:03.612Z
michaelduwe2,1,0.00,1.00 HVOICE,2021-09-30T12:13:03.613Z
michaelhaupt,1,0.00,1.00 HVOICE,2021-09-30T12:13:03.582Z
michaelmatio,1,0.00,1.00 HVOICE,2021-09-30T12:13:03.606Z
milaecdap141,1,0.00,1.00 HVOICE,2021-09-30T12:13:03.580Z
mindmonkey12,1,0.00,1.00 HVOICE,2021-09-30T12:13:03.610Z
momentomites,1,0.00,1.00 HVOICE,2021-09-30T12:13:03.596Z
momofinnell1,1,0.00,1.00 HVOICE,2021-09-30T12:13:03.602Z
mykolasmith1,1,0.00,1.00 HVOICE,2021-09-30T12:13:03.652Z
nadimhamdan1,1,0.00,1.00 HVOICE,2021-09-30T12:13:03.601Z
nadykhuzayim,1,0.00,1.00 HVOICE,2021-09-30T12:13:03.602Z
nataliebhor1,1,0.00,1.00 HVOICE,2021-09-30T12:13:03.609Z
neiltakemoto,1,0.00,1.00 HVOICE,2021-09-30T12:13:03.597Z
neonanewmoon,1,0.00,1.00 HVOICE,2021-09-30T12:13:03.652Z
nestorkamuk1,1,0.00,1.00 HVOICE,2021-09-30T12:13:03.598Z
niknik115142,1,0.00,1.00 HVOICE,2021-09-30T12:13:03.605Z
obenauscomns,1,0.00,1.00 HVOICE,2021-09-30T12:13:03.607Z
ombombadi11o,1,0.00,1.00 HVOICE,2021-09-30T12:13:03.612Z
onetwelveone,1,0.00,1.00 HVOICE,2021-09-30T12:13:03.604Z
paguabella21,1,0.00,1.00 HVOICE,2021-09-30T12:13:03.597Z
pinealfriend,1,0.00,1.00 HVOICE,2021-09-30T12:13:03.607Z
pipepipepipe,1,0.00,1.00 HVOICE,2021-09-30T12:13:04.346Z
pleromaseeds,1,0.00,1.00 HVOICE,2021-09-30T12:13:04.338Z
psihognjen34,1,0.00,1.00 HVOICE,2021-09-30T12:13:04.357Z
rafaelcalcad,1,0.00,1.00 HVOICE,2021-09-30T12:13:04.345Z
raviresck123,1,0.00,1.00 HVOICE,2021-09-30T12:13:04.338Z
rbretminster,1,0.00,1.00 HVOICE,2021-09-30T12:13:04.339Z
rechyuanlim3,1,0.00,1.00 HVOICE,2021-09-30T12:13:04.356Z
redpermie445,1,0.00,1.00 HVOICE,2021-09-30T12:13:04.367Z
regenerator1,1,0.00,1.00 HVOICE,2021-09-30T12:13:04.345Z
renereborn11,1,0.00,1.00 HVOICE,2021-09-30T12:13:04.357Z
rheartgarden,1,0.00,1.00 HVOICE,2021-09-30T12:13:04.348Z
richdecibels,1,0.00,1.00 HVOICE,2021-09-30T12:13:04.345Z
robrobrobrob,1,0.00,1.00 HVOICE,2021-09-30T12:13:04.354Z
romboxen1234,1,0.00,1.00 HVOICE,2021-09-30T12:13:04.337Z
rozicamojca1,1,0.00,1.00 HVOICE,2021-09-30T12:13:04.340Z
rozziesavage,1,0.00,1.00 HVOICE,2021-09-30T12:13:04.343Z
ruiillyah455,1,0.00,1.00 HVOICE,2021-09-30T12:13:04.368Z
ryanwaynefix,1,0.00,1.00 HVOICE,2021-09-30T12:13:04.382Z
saintpatrick,1,0.00,1.00 HVOICE,2021-09-30T12:13:04.341Z
samaradhoooo,1,0.00,1.00 HVOICE,2021-09-30T12:13:04.355Z
samdelesque1,1,0.00,1.00 HVOICE,2021-09-30T12:13:04.340Z
samstonehill,1,0.00,1.00 HVOICE,2021-09-30T12:13:04.369Z
sanbernadino,1,0.00,1.00 HVOICE,2021-09-30T12:13:04.382Z
sarahkalmeta,1,0.00,1.00 HVOICE,2021-09-30T12:13:04.369Z
sariririras1,1,0.00,1.00 HVOICE,2021-09-30T12:13:04.337Z
sebastianmb2,1,0.00,1.00 HVOICE,2021-09-30T12:13:04.366Z
simonedewijn,1,0.00,1.00 HVOICE,2021-09-30T12:13:04.371Z
skyblueearth,1,0.00,1.00 HVOICE,2021-09-30T12:13:04.344Z
sotosonrisas,1,0.00,1.00 HVOICE,2021-09-30T12:13:04.350Z
staccotronco,1,0.00,1.00 HVOICE,2021-09-30T12:13:04.368Z
stargardenai,1,0.00,1.00 HVOICE,2021-09-30T12:13:04.367Z
stevewaddell,1,0.00,1.00 HVOICE,2021-09-30T12:13:04.371Z
stuartvalen1,1,0.00,1.00 HVOICE,2021-09-30T12:13:04.345Z
sustainable3,1,0.00,1.00 HVOICE,2021-09-30T12:13:04.370Z
takayarenzo5,1,0.00,1.00 HVOICE,2021-09-30T12:13:04.371Z
tawhuac4bolo,1,0.00,1.00 HVOICE,2021-09-30T12:13:04.344Z
telmagomes11,1,0.00,1.00 HVOICE,2021-09-30T12:13:04.372Z
thaynaran322,1,0.00,1.00 HVOICE,2021-09-30T12:13:04.357Z
thebeautyway,1,0.00,1.00 HVOICE,2021-09-30T12:13:04.343Z
theollaps123,1,0.00,1.00 HVOICE,2021-09-30T12:13:04.365Z
tiago2campos,1,0.00,1.00 HVOICE,2021-09-30T12:13:04.371Z
todossantos4,1,0.00,1.00 HVOICE,2021-09-30T12:13:04.351Z
tommiddleton,1,0.00,1.00 HVOICE,2021-09-30T12:13:04.366Z
trevor111111,1,0.00,1.00 HVOICE,2021-09-30T12:13:04.371Z
tribretribre,1,0.00,1.00 HVOICE,2021-09-30T12:13:04.365Z
trittligass5,1,0.00,1.00 HVOICE,2021-09-30T12:13:04.375Z
tsiruochun35,1,0.00,1.00 HVOICE,2021-09-30T12:13:04.359Z
twakefield14,1,0.00,1.00 HVOICE,2021-09-30T12:13:04.369Z
twakefield44,1,0.00,1.00 HVOICE,2021-09-30T12:13:04.359Z
ucicostarica,1,0.00,1.00 HVOICE,2021-09-30T12:13:04.359Z
uciuciuciuci,1,0.00,1.00 HVOICE,2021-09-30T12:13:04.383Z
vivienleung2,1,0.00,1.00 HVOICE,2021-09-30T12:13:04.353Z
vixdesignreg,1,0.00,1.00 HVOICE,2021-09-30T12:13:04.366Z
vn5555555555,1,0.00,1.00 HVOICE,2021-09-30T12:13:04.354Z
waelpalestin,1,0.00,1.00 HVOICE,2021-09-30T12:13:04.355Z
walterfritha,1,0.00,1.00 HVOICE,2021-09-30T12:13:04.358Z
westonshanec,1,0.00,1.00 HVOICE,2021-09-30T12:13:04.358Z
z13524alana4,1,0.00,1.00 HVOICE,2021-09-30T12:13:04.349Z
zahraindigos,1,0.00,1.00 HVOICE,2021-09-30T12:13:04.383Z
zaidski33111,1,0.00,1.00 HVOICE,2021-09-30T12:13:04.375Z
dao.hypha,0,0.00,0.00 HVOICE,2021-09-30T12:13:02.891Z
