account,amount,%,balance,date
thealchemist,456259.87,15.48,456259.87 HYPHA,2022-01-03T08:58:18.777Z
cometogether,245923.76,8.34,245923.76 HYPHA,2022-01-03T08:58:18.114Z
dangermouse1,179775.97,6.10,179775.97 HYPHA,2022-01-03T08:58:18.112Z
hyphanewyork,179202.2,6.08,179202.20 HYPHA,2022-01-03T08:58:18.111Z
joachimstroh,124241.32,4.21,124241.32 HYPHA,2022-01-03T08:58:18.010Z
astoryteller,101859.98,3.46,101859.98 HYPHA,2022-01-03T08:58:18.050Z
illumination,96524.89,3.27,96524.89 HYPHA,2022-01-03T08:58:18.030Z
lisalight231,94053.43,3.19,94053.43 HYPHA,2022-01-03T08:58:18.113Z
biodiversity,92000,3.12,92000.00 HYPHA,2022-01-03T08:58:18.059Z
loveandlight,87033.48,2.95,87033.48 HYPHA,2022-01-03T08:58:18.043Z
thelovewitch,78357.28,2.66,78357.28 HYPHA,2022-01-03T08:58:18.773Z
markflowfarm,61223.16,2.08,61223.16 HYPHA,2022-01-03T08:58:18.037Z
acascalheira,57253.45,1.94,57253.45 HYPHA,2022-01-03T08:58:18.001Z
supernatural,56917.12,1.93,56917.12 HYPHA,2022-01-03T08:58:18.821Z
jaclynjhin11,54995.14,1.87,54995.14 HYPHA,2022-01-03T08:58:18.112Z
willblakey11,48778.83,1.65,48778.83 HYPHA,2022-01-03T08:58:18.748Z
iampriestess,45000,1.53,45000.00 HYPHA,2022-01-03T08:58:18.058Z
everywherehk,38400,1.30,38400.00 HYPHA,2022-01-03T08:58:18.110Z
vasylmarchuk,35033.74,1.19,35033.74 HYPHA,2022-01-03T08:58:18.776Z
luigicarlini,34984.32,1.19,34984.32 HYPHA,2022-01-03T08:58:18.108Z
paulcarvalho,33173.92,1.13,33173.92 HYPHA,2022-01-03T08:58:18.100Z
seeding1love,32258.84,1.09,32258.84 HYPHA,2022-01-03T08:58:18.821Z
montanath135,30000,1.02,30000.00 HYPHA,2022-01-03T08:58:18.057Z
searchingfor,30000,1.02,30000.00 HYPHA,2022-01-03T08:58:18.755Z
stefanrust12,29053.45,0.99,29053.45 HYPHA,2022-01-03T08:58:18.783Z
esteesh12345,23944.93,0.81,23944.93 HYPHA,2022-01-03T08:58:18.112Z
seedspiyush2,23605.73,0.80,23605.73 HYPHA,2022-01-03T08:58:18.747Z
nomik22kimon,22455.54,0.76,22455.54 HYPHA,2022-01-03T08:58:18.059Z
localscaling,21735.69,0.74,21735.69 HYPHA,2022-01-03T08:58:18.064Z
mightymighty,21691.39,0.74,21691.39 HYPHA,2022-01-03T08:58:18.061Z
exponential1,21564.63,0.73,21564.63 HYPHA,2022-01-03T08:58:18.044Z
georgetaylor,21000,0.71,21000.00 HYPHA,2022-01-03T08:58:18.007Z
abrancusi123,20875.39,0.71,20875.39 HYPHA,2022-01-03T08:58:18.017Z
clarelaverty,18270.46,0.62,18270.46 HYPHA,2022-01-03T08:58:18.015Z
nahimafzal11,17700,0.60,17700.00 HYPHA,2022-01-03T08:58:18.064Z
juliomonteir,15378.07,0.52,15378.07 HYPHA,2022-01-03T08:58:18.063Z
sonicsphinxy,15204.11,0.52,15204.11 HYPHA,2022-01-03T08:58:18.822Z
alanlaub1111,15000,0.51,15000.00 HYPHA,2022-01-03T08:58:18.062Z
alextrojan43,15000,0.51,15000.00 HYPHA,2022-01-03T08:58:18.046Z
cookieinbali,15000,0.51,15000.00 HYPHA,2022-01-03T08:58:18.074Z
febudfuture1,15000,0.51,15000.00 HYPHA,2022-01-03T08:58:18.049Z
greensurge12,15000,0.51,15000.00 HYPHA,2022-01-03T08:58:18.056Z
iblvnnwwrld1,15000,0.51,15000.00 HYPHA,2022-01-03T08:58:18.047Z
tamsinrose22,15000,0.51,15000.00 HYPHA,2022-01-03T08:58:18.804Z
wearesailing,15000,0.51,15000.00 HYPHA,2022-01-03T08:58:18.785Z
rocklandroad,14300,0.49,14300.00 HYPHA,2022-01-03T08:58:18.775Z
sevenflash42,13533.28,0.46,13533.28 HYPHA,2022-01-03T08:58:18.763Z
sanjayrajan1,13328.19,0.45,13328.19 HYPHA,2022-01-03T08:58:18.768Z
theremotecub,12848.07,0.44,12848.07 HYPHA,2022-01-03T08:58:18.825Z
gradinagruiu,9622.95,0.33,9622.95 HYPHA,2022-01-03T08:58:18.097Z
evgeiobrn243,8975.77,0.30,8975.77 HYPHA,2022-01-03T08:58:18.059Z
totohmshanti,8821.57,0.30,8821.57 HYPHA,2022-01-03T08:58:18.825Z
gregory.tk,8713.42,0.30,8713.42 HYPHA,2022-01-03T08:58:18.057Z
c1or1dons115,8665,0.29,8665.00 HYPHA,2022-01-03T08:58:18.113Z
solomonx3333,8229.66,0.28,8229.66 HYPHA,2022-01-03T08:58:18.807Z
westonshanec,8000,0.27,8000.00 HYPHA,2022-01-03T08:58:18.779Z
leonieherma1,7870.37,0.27,7870.37 HYPHA,2022-01-03T08:58:18.063Z
