account,amount,%,balance,date
geschichten1,2.09,0.00,2.09 HYPHA,2022-01-11T00:51:53.859Z
jcroemer1111,1.99,0.00,1.99 HYPHA,2022-01-11T00:51:53.836Z
dversityclub,1.01,0.00,1.01 HYPHA,2022-01-11T00:51:53.822Z
vedadogguija,1.01,0.00,1.01 HYPHA,2022-01-11T00:51:55.522Z
coldstorage1,1,0.00,1.00 HYPHA,2022-01-11T00:51:53.834Z
twakefield14,1,0.00,1.00 HYPHA,2022-01-11T00:51:55.501Z
rory,0.86,0.00,0.86 HYPHA,2022-01-11T00:51:55.502Z
andytheseeds,0.82,0.00,0.82 HYPHA,2022-01-11T00:51:53.807Z
belledemoise,0.28,0.00,0.28 HYPHA,2022-01-11T00:51:53.870Z
apostolseeds,0.02,0.00,0.02 HYPHA,2022-01-11T00:51:53.824Z
pedroteux123,0.01,0.00,0.01 HYPHA,2022-01-11T00:51:53.838Z
faanch1134ac,0,0.00,0.00 HYPHA,2022-01-11T00:51:54.397Z
kapishdutta1,0,0.00,0.00 HYPHA,2022-01-11T00:51:53.845Z
michaelmatio,0,0.00,0.00 HYPHA,2022-01-11T00:51:53.871Z
swapx.seeds,0,0.00,0.00 HYPHA,2022-01-11T00:51:55.550Z
