account,amount,%,balance,date
gguijarro123,2115.18,0.07,2115.18 HYPHA,2021-09-30T12:13:09.529Z
matteotangi1,1980.5,0.07,1980.50 HYPHA,2021-09-30T12:13:09.541Z
dstudioproto,1949.2,0.07,1949.20 HYPHA,2021-09-30T12:13:09.557Z
christelos55,1904.45,0.07,1904.45 HYPHA,2021-09-30T12:13:09.547Z
virtuousloop,1896.32,0.07,1896.32 HYPHA,2021-09-30T12:13:10.253Z
atmalife2312,1671.41,0.06,1671.41 HYPHA,2021-09-30T12:13:09.520Z
ronscroggin1,1619.07,0.06,1619.07 HYPHA,2021-09-30T12:13:09.542Z
lukegravdent,1374.58,0.05,1374.58 HYPHA,2021-09-30T12:13:09.536Z
rpiesveloces,1282.9,0.04,1282.90 HYPHA,2021-09-30T12:13:09.539Z
natajuvbr125,1137.76,0.04,1137.76 HYPHA,2021-09-30T12:13:09.558Z
ugxxqvybh233,1105.23,0.04,1105.23 HYPHA,2021-09-30T12:13:10.258Z
pmdwithseeds,1097.41,0.04,1097.41 HYPHA,2021-09-30T12:13:09.551Z
denistoledoo,1085.08,0.04,1085.08 HYPHA,2021-09-30T12:13:09.534Z
kuntterbunt1,986,0.03,986.00 HYPHA,2021-09-30T12:13:09.549Z
massimohypha,908.36,0.03,908.36 HYPHA,2021-09-30T12:13:09.541Z
minosdoros55,889.84,0.03,889.84 HYPHA,2021-09-30T12:13:09.595Z
etherweaver1,811.2,0.03,811.20 HYPHA,2021-09-30T12:13:09.509Z
leoslaagr421,810,0.03,810.00 HYPHA,2021-09-30T12:13:09.522Z
natureboy222,656.4,0.02,656.40 HYPHA,2021-09-30T12:13:09.535Z
radiantseeds,650,0.02,650.00 HYPHA,2021-09-30T12:13:09.595Z
starseedyogi,500,0.02,500.00 HYPHA,2021-09-30T12:13:10.252Z
cedricseedss,455,0.02,455.00 HYPHA,2021-09-30T12:13:09.515Z
donations.gm,455,0.02,455.00 HYPHA,2021-09-30T12:13:09.530Z
magic1234555,450,0.02,450.00 HYPHA,2021-09-30T12:13:09.548Z
gerard5ph321,371,0.01,371.00 HYPHA,2021-09-30T12:13:09.522Z
jedipath3335,321.75,0.01,321.75 HYPHA,2021-09-30T12:13:09.531Z
earthgym.gm,195,0.01,195.00 HYPHA,2021-09-30T12:13:09.508Z
peterrakj234,177.06,0.01,177.06 HYPHA,2021-09-30T12:13:09.539Z
danigorfest3,133,0.00,133.00 HYPHA,2021-09-30T12:13:09.511Z
marcmarcmarc,108.44,0.00,108.44 HYPHA,2021-09-30T12:13:09.556Z
cathk33seeds,107.64,0.00,107.64 HYPHA,2021-09-30T12:13:09.526Z
inhabit4love,104.65,0.00,104.65 HYPHA,2021-09-30T12:13:09.556Z
khempoudel12,102.06,0.00,102.06 HYPHA,2021-09-30T12:13:09.543Z
hyphax.seeds,84.77,0.00,84.77 HYPHA,2021-09-30T12:13:09.523Z
imprvsociety,74.6,0.00,74.60 HYPHA,2021-09-30T12:13:09.527Z
emanwplcl322,35.1,0.00,35.10 HYPHA,2021-09-30T12:13:09.552Z
oumniaabidi1,35.1,0.00,35.10 HYPHA,2021-09-30T12:13:09.542Z
nadimhamdan1,5.87,0.00,5.87 HYPHA,2021-09-30T12:13:09.545Z
geschichten1,2.09,0.00,2.09 HYPHA,2021-09-30T12:13:09.558Z
vedadogguija,1.01,0.00,1.01 HYPHA,2021-09-30T12:13:10.259Z
coldstorage1,1,0.00,1.00 HYPHA,2021-09-30T12:13:09.507Z
twakefield14,1,0.00,1.00 HYPHA,2021-09-30T12:13:10.250Z
rory,0.86,0.00,0.86 HYPHA,2021-09-30T12:13:09.596Z
andytheseeds,0.82,0.00,0.82 HYPHA,2021-09-30T12:13:09.530Z
belledemoise,0.28,0.00,0.28 HYPHA,2021-09-30T12:13:09.512Z
apostolseeds,0.02,0.00,0.02 HYPHA,2021-09-30T12:13:09.512Z
pedroteux123,0.01,0.00,0.01 HYPHA,2021-09-30T12:13:09.593Z
faanch1134ac,0,0.00,0.00 HYPHA,2021-09-30T12:13:09.513Z
jcroemer1111,0,0.00,0.00 HYPHA,2021-09-30T12:13:09.551Z
kapishdutta1,0,0.00,0.00 HYPHA,2021-09-30T12:13:09.528Z
michaelmatio,0,0.00,0.00 HYPHA,2021-09-30T12:13:09.547Z
swapx.seeds,0,0.00,0.00 HYPHA,2021-09-30T12:13:10.256Z
