account,amount,%,balance,date
thealchemist,305227.06,10.56,305227.06 HYPHA,2021-09-30T12:13:10.248Z
cometogether,241825.62,8.37,241825.62 HYPHA,2021-09-30T12:13:09.514Z
thelovewitch,230355.28,7.97,230355.28 HYPHA,2021-09-30T12:13:10.261Z
dangermouse1,179487.31,6.21,179487.31 HYPHA,2021-09-30T12:13:09.532Z
hyphanewyork,179202.2,6.20,179202.20 HYPHA,2021-09-30T12:13:09.515Z
joachimstroh,119025.15,4.12,119025.15 HYPHA,2021-09-30T12:13:09.555Z
astoryteller,101670.05,3.52,101670.05 HYPHA,2021-09-30T12:13:09.516Z
lisalight231,93958.47,3.25,93958.47 HYPHA,2021-09-30T12:13:09.534Z
biodiversity,92000,3.18,92000.00 HYPHA,2021-09-30T12:13:09.525Z
illumination,91824.77,3.18,91824.77 HYPHA,2021-09-30T12:13:09.524Z
loveandlight,86838.48,3.00,86838.48 HYPHA,2021-09-30T12:13:09.543Z
supernatural,56917.12,1.97,56917.12 HYPHA,2021-09-30T12:13:10.248Z
markflowfarm,56442.08,1.95,56442.08 HYPHA,2021-09-30T12:13:09.535Z
acascalheira,55700.54,1.93,55700.54 HYPHA,2021-09-30T12:13:09.516Z
jaclynjhin11,54995.14,1.90,54995.14 HYPHA,2021-09-30T12:13:09.552Z
willblakey11,50595.83,1.75,50595.83 HYPHA,2021-09-30T12:13:10.348Z
iampriestess,45000,1.56,45000.00 HYPHA,2021-09-30T12:13:09.533Z
everywherehk,38400,1.33,38400.00 HYPHA,2021-09-30T12:13:09.544Z
vasylmarchuk,35033.74,1.21,35033.74 HYPHA,2021-09-30T12:13:10.316Z
paulcarvalho,33173.92,1.15,33173.92 HYPHA,2021-09-30T12:13:09.550Z
seeding1love,32258.84,1.12,32258.84 HYPHA,2021-09-30T12:13:10.263Z
luigicarlini,32176.18,1.11,32176.18 HYPHA,2021-09-30T12:13:09.552Z
montanath135,30000,1.04,30000.00 HYPHA,2021-09-30T12:13:09.531Z
searchingfor,30000,1.04,30000.00 HYPHA,2021-09-30T12:13:10.252Z
stefanrust12,29053.45,1.01,29053.45 HYPHA,2021-09-30T12:13:10.253Z
esteesh12345,23472.92,0.81,23472.92 HYPHA,2021-09-30T12:13:09.538Z
localscaling,21735.69,0.75,21735.69 HYPHA,2021-09-30T12:13:09.551Z
georgetaylor,21000,0.73,21000.00 HYPHA,2021-09-30T12:13:09.517Z
abrancusi123,20875.39,0.72,20875.39 HYPHA,2021-09-30T12:13:09.521Z
nomik22kimon,20514.04,0.71,20514.04 HYPHA,2021-09-30T12:13:09.532Z
exponential1,20045.19,0.69,20045.19 HYPHA,2021-09-30T12:13:09.538Z
seedspiyush2,20037.38,0.69,20037.38 HYPHA,2021-09-30T12:13:10.251Z
sonicsphinxy,19786.66,0.68,19786.66 HYPHA,2021-09-30T12:13:10.317Z
mightymighty,19709.39,0.68,19709.39 HYPHA,2021-09-30T12:13:09.548Z
clarelaverty,18270.46,0.63,18270.46 HYPHA,2021-09-30T12:13:09.526Z
nahimafzal11,17700,0.61,17700.00 HYPHA,2021-09-30T12:13:09.544Z
alanlaub1111,15000,0.52,15000.00 HYPHA,2021-09-30T12:13:09.506Z
alextrojan43,15000,0.52,15000.00 HYPHA,2021-09-30T12:13:09.517Z
cookieinbali,15000,0.52,15000.00 HYPHA,2021-09-30T12:13:09.518Z
febudfuture1,15000,0.52,15000.00 HYPHA,2021-09-30T12:13:09.527Z
greensurge12,15000,0.52,15000.00 HYPHA,2021-09-30T12:13:09.540Z
iblvnnwwrld1,15000,0.52,15000.00 HYPHA,2021-09-30T12:13:09.536Z
tamsinrose22,15000,0.52,15000.00 HYPHA,2021-09-30T12:13:10.316Z
wearesailing,15000,0.52,15000.00 HYPHA,2021-09-30T12:13:10.262Z
rocklandroad,14300,0.49,14300.00 HYPHA,2021-09-30T12:13:09.549Z
juliomonteir,13718.1,0.47,13718.10 HYPHA,2021-09-30T12:13:09.540Z
sevenflash42,13533.28,0.47,13533.28 HYPHA,2021-09-30T12:13:10.251Z
sanjayrajan1,13328.19,0.46,13328.19 HYPHA,2021-09-30T12:13:09.529Z
theremotecub,11860.47,0.41,11860.47 HYPHA,2021-09-30T12:13:10.253Z
totohmshanti,8821.57,0.31,8821.57 HYPHA,2021-09-30T12:13:10.249Z
gregory.tk,8713.42,0.30,8713.42 HYPHA,2021-09-30T12:13:09.542Z
c1or1dons115,8665,0.30,8665.00 HYPHA,2021-09-30T12:13:09.520Z
solomonx3333,8229.66,0.28,8229.66 HYPHA,2021-09-30T12:13:10.255Z
westonshanec,8000,0.28,8000.00 HYPHA,2021-09-30T12:13:10.257Z
gradinagruiu,7998.89,0.28,7998.89 HYPHA,2021-09-30T12:13:09.557Z
nicktucker11,7255.25,0.25,7255.25 HYPHA,2021-09-30T12:13:09.545Z
evgeiobrn243,6674.5,0.23,6674.50 HYPHA,2021-09-30T12:13:09.524Z
zerowastebcn,6500,0.22,6500.00 HYPHA,2021-09-30T12:13:10.315Z
dao.hypha,6430,0.22,6430.00 HYPHA,2021-09-30T12:13:09.505Z
dbeverywhere,6203.59,0.21,6203.59 HYPHA,2021-09-30T12:13:09.528Z
jasondoh1155,5653.28,0.20,5653.28 HYPHA,2021-09-30T12:13:09.549Z
leonieherma1,5649.78,0.20,5649.78 HYPHA,2021-09-30T12:13:09.529Z
azarltfpa455,4950,0.17,4950.00 HYPHA,2021-09-30T12:13:09.511Z
anneloes3313,4902.06,0.17,4902.06 HYPHA,2021-09-30T12:13:09.514Z
sienaraa3535,4709.32,0.16,4709.32 HYPHA,2021-09-30T12:13:10.262Z
stephengomes,4687.5,0.16,4687.50 HYPHA,2021-09-30T12:13:10.317Z
jasonrswamy1,4605.71,0.16,4605.71 HYPHA,2021-09-30T12:13:09.523Z
aleksandardj,3668.88,0.13,3668.88 HYPHA,2021-09-30T12:13:09.533Z
kimmarsh1111,3518.53,0.12,3518.53 HYPHA,2021-09-30T12:13:09.550Z
rainskyarel5,3275.43,0.11,3275.43 HYPHA,2021-09-30T12:13:09.544Z
stephenreid1,3104,0.11,3104.00 HYPHA,2021-09-30T12:13:10.254Z
carleymonty1,3081.82,0.11,3081.82 HYPHA,2021-09-30T12:13:09.521Z
lukskywalker,2777.75,0.10,2777.75 HYPHA,2021-09-30T12:13:09.558Z
seedsofheart,2545.9,0.09,2545.90 HYPHA,2021-09-30T12:13:10.256Z
adafriedrich,2534.52,0.09,2534.52 HYPHA,2021-09-30T12:13:09.509Z
sanjeevsingh,2525,0.09,2525.00 HYPHA,2021-09-30T12:13:10.250Z
martinaepple,2171.2,0.08,2171.20 HYPHA,2021-09-30T12:13:09.540Z
takayaren555,2139.44,0.07,2139.44 HYPHA,2021-09-30T12:13:10.259Z
