account,amount,%,balance,date
cedricseedss,13093.8,0.11,13093.80 HVOICE,2022-01-11T16:04:01.709Z
stephenreid1,12561.19,0.11,12561.19 HVOICE,2022-01-11T16:04:04.250Z
leoslaagr421,12504.38,0.11,12504.38 HVOICE,2022-01-11T16:04:03.552Z
forevergreen,12503.59,0.11,12503.59 HVOICE,2022-01-11T16:04:01.702Z
etherweaver1,12481,0.11,12481.00 HVOICE,2022-01-11T16:04:01.711Z
lukskywalker,11112,0.09,11112.00 HVOICE,2022-01-11T16:04:03.531Z
ronscroggin1,10435.38,0.09,10435.38 HVOICE,2022-01-11T16:04:04.269Z
radiantseeds,10001,0.08,10001.00 HVOICE,2022-01-11T16:04:04.252Z
takayaren555,8915.4,0.08,8915.40 HVOICE,2022-01-11T16:04:04.268Z
danigorfest3,8575.36,0.07,8575.36 HVOICE,2022-01-11T16:04:01.693Z
virtuousloop,8429.16,0.07,8429.16 HVOICE,2022-01-11T16:04:04.274Z
jedipath3335,7501,0.06,7501.00 HVOICE,2022-01-11T16:04:03.572Z
seedsofheart,7275,0.06,7275.00 HVOICE,2022-01-11T16:04:04.259Z
renexplorers,7000.99,0.06,7000.99 HVOICE,2022-01-11T16:04:04.285Z
zerowastebcn,6501,0.06,6501.00 HVOICE,2022-01-11T16:04:04.245Z
romboxen1234,6078.71,0.05,6078.71 HVOICE,2022-01-11T16:04:04.215Z
earthgym.gm,6001,0.05,6001.00 HVOICE,2022-01-11T16:04:01.726Z
seedsembassy,6001,0.05,6001.00 HVOICE,2022-01-11T16:04:04.264Z
sanjeevsingh,5051,0.04,5051.00 HVOICE,2022-01-11T16:04:04.254Z
baliforester,5001,0.04,5001.00 HVOICE,2022-01-11T16:04:01.719Z
inhabit4love,4025.99,0.03,4025.99 HVOICE,2022-01-11T16:04:03.507Z
pmdwithseeds,3592.18,0.03,3592.18 HVOICE,2022-01-11T16:04:04.231Z
cathk33seeds,2761,0.02,2761.00 HVOICE,2022-01-11T16:04:01.691Z
natureboy222,2432.2,0.02,2432.20 HVOICE,2022-01-11T16:04:03.515Z
denistoledoo,2171.17,0.02,2171.17 HVOICE,2022-01-11T16:04:01.695Z
farzadbarzin,1721,0.01,1721.00 HVOICE,2022-01-11T16:04:01.710Z
magic1234555,751,0.01,751.00 HVOICE,2022-01-11T16:04:03.528Z
peterrakj234,709.33,0.01,709.33 HVOICE,2022-01-11T16:04:03.535Z
vladlausevic,601,0.01,601.00 HVOICE,2022-01-11T16:04:04.226Z
emanwplcl322,540.98,0.00,540.98 HVOICE,2022-01-11T16:04:01.709Z
oumniaabidi1,540.98,0.00,540.98 HVOICE,2022-01-11T16:04:03.577Z
1onefiftyfor,1,0.00,1.00 HVOICE,2022-01-11T16:04:01.678Z
1regeneratti,1,0.00,1.00 HVOICE,2022-01-11T16:04:01.686Z
abeonazhv432,1,0.00,1.00 HVOICE,2022-01-11T16:04:01.703Z
accountwayne,1,0.00,1.00 HVOICE,2022-01-11T16:04:01.726Z
adaptecology,1,0.00,1.00 HVOICE,2022-01-11T16:04:01.689Z
agnessgarden,1,0.00,1.00 HVOICE,2022-01-11T16:04:01.702Z
alch3myofsho,1,0.00,1.00 HVOICE,2022-01-11T16:04:01.703Z
alinevanmoer,1,0.00,1.00 HVOICE,2022-01-11T16:04:01.716Z
anahealingwo,1,0.00,1.00 HVOICE,2022-01-11T16:04:01.688Z
annagjkzu442,1,0.00,1.00 HVOICE,2022-01-11T16:04:01.727Z
anthomontes3,1,0.00,1.00 HVOICE,2022-01-11T16:04:01.689Z
apostolseeds,1,0.00,1.00 HVOICE,2022-01-11T16:04:01.705Z
aryabhattaaa,1,0.00,1.00 HVOICE,2022-01-11T16:04:01.681Z
astralship12,1,0.00,1.00 HVOICE,2022-01-11T16:04:01.691Z
barmseekri13,1,0.00,1.00 HVOICE,2022-01-11T16:04:01.708Z
bart5hoorweg,1,0.00,1.00 HVOICE,2022-01-11T16:04:01.716Z
bartelbertse,1,0.00,1.00 HVOICE,2022-01-11T16:04:01.691Z
beginersmind,1,0.00,1.00 HVOICE,2022-01-11T16:04:01.692Z
bkooefhdr521,1,0.00,1.00 HVOICE,2022-01-11T16:04:01.727Z
blagotvorec1,1,0.00,1.00 HVOICE,2022-01-11T16:04:01.717Z
blockchain5d,1,0.00,1.00 HVOICE,2022-01-11T16:04:01.718Z
c1or1dons115,1,0.00,1.00 HVOICE,2022-01-11T16:04:01.696Z
cassiuscarv1,1,0.00,1.00 HVOICE,2022-01-11T16:04:01.730Z
catalystdceo,1,0.00,1.00 HVOICE,2022-01-11T16:04:01.708Z
charrismatic,1,0.00,1.00 HVOICE,2022-01-11T16:04:01.693Z
clintpickney,1,0.00,1.00 HVOICE,2022-01-11T16:04:01.716Z
cobybabanicb,1,0.00,1.00 HVOICE,2022-01-11T16:04:01.694Z
communitrees,1,0.00,1.00 HVOICE,2022-01-11T16:04:01.697Z
compris11111,1,0.00,1.00 HVOICE,2022-01-11T16:04:01.692Z
consciousof1,1,0.00,1.00 HVOICE,2022-01-11T16:04:01.722Z
cyrusseeds44,1,0.00,1.00 HVOICE,2022-01-11T16:04:01.694Z
dakotakaiser,1,0.00,1.00 HVOICE,2022-01-11T16:04:01.718Z
damianfuller,1,0.00,1.00 HVOICE,2022-01-11T16:04:01.720Z
dancingseeds,1,0.00,1.00 HVOICE,2022-01-11T16:04:01.709Z
dannyford123,1,0.00,1.00 HVOICE,2022-01-11T16:04:01.722Z
davidsellams,1,0.00,1.00 HVOICE,2022-01-11T16:04:01.720Z
dayagardunha,1,0.00,1.00 HVOICE,2022-01-11T16:04:01.695Z
dcbvip123321,1,0.00,1.00 HVOICE,2022-01-11T16:04:01.704Z
ddbhyphaseed,1,0.00,1.00 HVOICE,2022-01-11T16:04:01.708Z
dianabehrens,1,0.00,1.00 HVOICE,2022-01-11T16:04:01.731Z
dianavilelab,1,0.00,1.00 HVOICE,2022-01-11T16:04:02.854Z
dmitriyseeds,1,0.00,1.00 HVOICE,2022-01-11T16:04:01.722Z
drigolove333,1,0.00,1.00 HVOICE,2022-01-11T16:04:01.702Z
eddyaugusto5,1,0.00,1.00 HVOICE,2022-01-11T16:04:01.696Z
ellafeathers,1,0.00,1.00 HVOICE,2022-01-11T16:04:01.710Z
emmapionberl,1,0.00,1.00 HVOICE,2022-01-11T16:04:01.726Z
enterthevoid,1,0.00,1.00 HVOICE,2022-01-11T16:04:01.705Z
erickflavour,1,0.00,1.00 HVOICE,2022-01-11T16:04:01.711Z
everywheredb,1,0.00,1.00 HVOICE,2022-01-11T16:04:01.701Z
ewoudvenema1,1,0.00,1.00 HVOICE,2022-01-11T16:04:01.701Z
f4b1vuk1seed,1,0.00,1.00 HVOICE,2022-01-11T16:04:01.723Z
faanch1134ac,1,0.00,1.00 HVOICE,2022-01-11T16:04:01.712Z
felipecalvo1,1,0.00,1.00 HVOICE,2022-01-11T16:04:01.684Z
freedomcell1,1,0.00,1.00 HVOICE,2022-01-11T16:04:01.697Z
freeminister,1,0.00,1.00 HVOICE,2022-01-11T16:04:01.723Z
geschichten1,1,0.00,1.00 HVOICE,2022-01-11T16:04:01.713Z
giandahber52,1,0.00,1.00 HVOICE,2022-01-11T16:04:01.724Z
gijsspoor123,1,0.00,1.00 HVOICE,2022-01-11T16:04:01.723Z
gracerachman,1,0.00,1.00 HVOICE,2022-01-11T16:04:01.686Z
graindefolie,1,0.00,1.00 HVOICE,2022-01-11T16:04:01.713Z
guilherme111,1,0.00,1.00 HVOICE,2022-01-11T16:04:03.580Z
hbussacos123,1,0.00,1.00 HVOICE,2022-01-11T16:04:03.550Z
hbussacosbra,1,0.00,1.00 HVOICE,2022-01-11T16:04:03.538Z
howardjohns1,1,0.00,1.00 HVOICE,2022-01-11T16:04:03.505Z
ibvlnnwwrld1,1,0.00,1.00 HVOICE,2022-01-11T16:04:03.575Z
iggypop11235,1,0.00,1.00 HVOICE,2022-01-11T16:04:03.536Z
indrasloom33,1,0.00,1.00 HVOICE,2022-01-11T16:04:03.506Z
itsericbrown,1,0.00,1.00 HVOICE,2022-01-11T16:04:03.575Z
ivyforero111,1,0.00,1.00 HVOICE,2022-01-11T16:04:03.536Z
jamesmsamuel,1,0.00,1.00 HVOICE,2022-01-11T16:04:03.582Z
jclearwater1,1,0.00,1.00 HVOICE,2022-01-11T16:04:03.537Z
jeromeminney,1,0.00,1.00 HVOICE,2022-01-11T16:04:03.521Z
jessicaz1111,1,0.00,1.00 HVOICE,2022-01-11T16:04:03.553Z
jo1a5tonhoo5,1,0.00,1.00 HVOICE,2022-01-11T16:04:03.569Z
joannelynn32,1,0.00,1.00 HVOICE,2022-01-11T16:04:03.581Z
joaoestellit,1,0.00,1.00 HVOICE,2022-01-11T16:04:03.576Z
jonasdhunter,1,0.00,1.00 HVOICE,2022-01-11T16:04:03.571Z
joshfielding,1,0.00,1.00 HVOICE,2022-01-11T16:04:03.583Z
joy2theworld,1,0.00,1.00 HVOICE,2022-01-11T16:04:03.551Z
jsofarelli13,1,0.00,1.00 HVOICE,2022-01-11T16:04:03.581Z
justin.id,1,0.00,1.00 HVOICE,2022-01-11T16:04:03.534Z
kyliathymeta,1,0.00,1.00 HVOICE,2022-01-11T16:04:03.577Z
lalagardens1,1,0.00,1.00 HVOICE,2022-01-11T16:04:03.527Z
lauradorigio,1,0.00,1.00 HVOICE,2022-01-11T16:04:03.582Z
laurenarcher,1,0.00,1.00 HVOICE,2022-01-11T16:04:03.585Z
lindaandrews,1,0.00,1.00 HVOICE,2022-01-11T16:04:03.580Z
linekeheus55,1,0.00,1.00 HVOICE,2022-01-11T16:04:03.583Z
lucascrtelos,1,0.00,1.00 HVOICE,2022-01-11T16:04:03.528Z
lukestokestl,1,0.00,1.00 HVOICE,2022-01-11T16:04:03.553Z
lumilovlight,1,0.00,1.00 HVOICE,2022-01-11T16:04:03.583Z
magicagency1,1,0.00,1.00 HVOICE,2022-01-11T16:04:03.573Z
maincedregen,1,0.00,1.00 HVOICE,2022-01-11T16:04:03.564Z
marcelorossi,1,0.00,1.00 HVOICE,2022-01-11T16:04:03.533Z
marcwinnseed,1,0.00,1.00 HVOICE,2022-01-11T16:04:03.510Z
maryslovakia,1,0.00,1.00 HVOICE,2022-01-11T16:04:03.548Z
mavimariasto,1,0.00,1.00 HVOICE,2022-01-11T16:04:03.510Z
melodzogu215,1,0.00,1.00 HVOICE,2022-01-11T16:04:03.572Z
mettaman1111,1,0.00,1.00 HVOICE,2022-01-11T16:04:03.576Z
michaelduwe1,1,0.00,1.00 HVOICE,2022-01-11T16:04:03.554Z
michaelduwe2,1,0.00,1.00 HVOICE,2022-01-11T16:04:03.508Z
michaelhaupt,1,0.00,1.00 HVOICE,2022-01-11T16:04:03.573Z
michaelmatio,1,0.00,1.00 HVOICE,2022-01-11T16:04:03.580Z
milaecdap141,1,0.00,1.00 HVOICE,2022-01-11T16:04:03.572Z
mindmonkey12,1,0.00,1.00 HVOICE,2022-01-11T16:04:03.580Z
momentomites,1,0.00,1.00 HVOICE,2022-01-11T16:04:03.540Z
momofinnell1,1,0.00,1.00 HVOICE,2022-01-11T16:04:03.569Z
mykolasmith1,1,0.00,1.00 HVOICE,2022-01-11T16:04:03.580Z
nadimhamdan1,1,0.00,1.00 HVOICE,2022-01-11T16:04:03.572Z
nadykhuzayim,1,0.00,1.00 HVOICE,2022-01-11T16:04:03.518Z
nataliebhor1,1,0.00,1.00 HVOICE,2022-01-11T16:04:03.572Z
neiltakemoto,1,0.00,1.00 HVOICE,2022-01-11T16:04:03.572Z
neonanewmoon,1,0.00,1.00 HVOICE,2022-01-11T16:04:03.554Z
nestorkamuk1,1,0.00,1.00 HVOICE,2022-01-11T16:04:03.571Z
niknik115142,1,0.00,1.00 HVOICE,2022-01-11T16:04:03.559Z
obenauscomns,1,0.00,1.00 HVOICE,2022-01-11T16:04:03.579Z
ombombadi11o,1,0.00,1.00 HVOICE,2022-01-11T16:04:03.579Z
onetwelveone,1,0.00,1.00 HVOICE,2022-01-11T16:04:03.564Z
paguabella21,1,0.00,1.00 HVOICE,2022-01-11T16:04:03.573Z
pinealfriend,1,0.00,1.00 HVOICE,2022-01-11T16:04:03.564Z
