account,amount,%,balance,date
thealchemist,456259.87,15.46,456259.87 HYPHA,2022-01-09T14:44:13.603Z
cometogether,246275.01,8.35,246275.01 HYPHA,2022-01-09T14:44:11.664Z
dangermouse1,179775.97,6.09,179775.97 HYPHA,2022-01-09T14:44:12.897Z
hyphanewyork,179202.2,6.07,179202.20 HYPHA,2022-01-09T14:44:11.697Z
joachimstroh,124738.93,4.23,124738.93 HYPHA,2022-01-09T14:44:11.612Z
astoryteller,101859.98,3.45,101859.98 HYPHA,2022-01-09T14:44:11.611Z
illumination,96524.89,3.27,96524.89 HYPHA,2022-01-09T14:44:11.648Z
lisalight231,94053.43,3.19,94053.43 HYPHA,2022-01-09T14:44:11.709Z
biodiversity,92000,3.12,92000.00 HYPHA,2022-01-09T14:44:11.700Z
loveandlight,87129.7,2.95,87129.70 HYPHA,2022-01-09T14:44:11.691Z
thelovewitch,78357.28,2.66,78357.28 HYPHA,2022-01-09T14:44:13.587Z
markflowfarm,61223.16,2.08,61223.16 HYPHA,2022-01-09T14:44:11.696Z
acascalheira,57253.45,1.94,57253.45 HYPHA,2022-01-09T14:44:11.703Z
supernatural,56917.12,1.93,56917.12 HYPHA,2022-01-09T14:44:13.607Z
jaclynjhin11,54995.14,1.86,54995.14 HYPHA,2022-01-09T14:44:11.710Z
willblakey11,48778.83,1.65,48778.83 HYPHA,2022-01-09T14:44:13.594Z
iampriestess,45000,1.53,45000.00 HYPHA,2022-01-09T14:44:11.623Z
everywherehk,38400,1.30,38400.00 HYPHA,2022-01-09T14:44:11.622Z
vasylmarchuk,35033.74,1.19,35033.74 HYPHA,2022-01-09T14:44:13.618Z
luigicarlini,34984.32,1.19,34984.32 HYPHA,2022-01-09T14:44:11.705Z
paulcarvalho,33173.92,1.12,33173.92 HYPHA,2022-01-09T14:44:11.711Z
seeding1love,32258.84,1.09,32258.84 HYPHA,2022-01-09T14:44:13.577Z
montanath135,30000,1.02,30000.00 HYPHA,2022-01-09T14:44:11.645Z
searchingfor,30000,1.02,30000.00 HYPHA,2022-01-09T14:44:13.590Z
stefanrust12,29053.45,0.98,29053.45 HYPHA,2022-01-09T14:44:13.599Z
esteesh12345,23944.93,0.81,23944.93 HYPHA,2022-01-09T14:44:11.699Z
seedspiyush2,23605.73,0.80,23605.73 HYPHA,2022-01-09T14:44:13.596Z
nomik22kimon,22455.54,0.76,22455.54 HYPHA,2022-01-09T14:44:11.663Z
localscaling,21735.69,0.74,21735.69 HYPHA,2022-01-09T14:44:11.661Z
mightymighty,21691.39,0.74,21691.39 HYPHA,2022-01-09T14:44:11.709Z
exponential1,21564.63,0.73,21564.63 HYPHA,2022-01-09T14:44:11.644Z
